position,gene,ID,type,start,end,strand,strain,central_gene,core_status,isolate_count
-1,ydcV_3,ECOR47_04379,CDS,101928,102773,+,ECOR47_PROKKA,rlmC,soft_core,43
1,ybjO,ECOR47_04380,CDS,102833,103321,+,ECOR47_PROKKA,rlmC,soft_core,43
2,rlmC,ECOR47_04381,CDS,103362,104489,+,ECOR47_PROKKA,rlmC,soft_core,43
3,ulaA_2,ECOR47_04382,CDS,104788,106113,+,ECOR47_PROKKA,rlmC,non_core,3
4,ulaB_2,ECOR47_04383,CDS,106135,106455,+,ECOR47_PROKKA,rlmC,non_core,3
5,,ECOR47_04384,CDS,106468,107949,+,ECOR47_PROKKA,rlmC,non_core,3
6,artJ,ECOR47_04385,CDS,108000,108731,-,ECOR47_PROKKA,rlmC,soft_core,43
7,artM_2,ECOR47_04386,CDS,108957,109625,-,ECOR47_PROKKA,rlmC,soft_core,43
8,artQ,ECOR47_04387,CDS,109625,110341,-,ECOR47_PROKKA,rlmC,soft_core,43
9,artI,ECOR47_04388,CDS,110348,111079,-,ECOR47_PROKKA,rlmC,soft_core,43
10,artP,ECOR47_04389,CDS,111097,111825,-,ECOR47_PROKKA,rlmC,soft_core,43
-9,mntS,ECOR44_01591,CDS,328411,328539,+,ECOR44_PROKKA,rlmF,core,44
-8,opgE_1,ECOR44_01592,CDS,328811,330394,+,ECOR44_PROKKA,rlmF,core,44
-7,ompX_1,ECOR44_01593,CDS,330443,330958,-,ECOR44_PROKKA,rlmF,core,44
-6,rhtA,ECOR44_01594,CDS,331311,332198,+,ECOR44_PROKKA,rlmF,core,44
-5,dps,ECOR44_01595,CDS,332497,333000,+,ECOR44_PROKKA,rlmF,core,44
-4,glnH,ECOR44_01596,CDS,333404,334150,+,ECOR44_PROKKA,rlmF,core,44
-3,glnP,ECOR44_01597,CDS,334289,334948,+,ECOR44_PROKKA,rlmF,core,44
-2,glnQ_2,ECOR44_01598,CDS,334945,335667,+,ECOR44_PROKKA,rlmF,core,44
-1,ybiO,ECOR44_01599,CDS,335928,338153,+,ECOR44_PROKKA,rlmF,core,44
1,mcbA,ECOR44_01600,CDS,339383,339643,+,ECOR44_PROKKA,rlmF,core,44
2,fiu,ECOR44_01601,CDS,339908,342190,+,ECOR44_PROKKA,rlmF,non_core,30
3,,ECOR44_01602,CDS,342235,342909,+,ECOR44_PROKKA,rlmF,core,44
4,ybiI_2,ECOR44_01603,CDS,342983,343249,+,ECOR44_PROKKA,rlmF,core,44
5,bhsA_2,ECOR44_01604,CDS,343514,343774,+,ECOR44_PROKKA,rlmF,core,44
6,hcxB,ECOR44_01605,CDS,344003,345088,-,ECOR44_PROKKA,rlmF,core,44
7,ybiB,ECOR44_01606,CDS,345229,346191,-,ECOR44_PROKKA,rlmF,non_core,30
8,ybiA,ECOR44_01608,CDS,348522,348971,+,ECOR44_PROKKA,rlmF,non_core,14
9,rhlE,ECOR44_01609,CDS,349207,350571,-,ECOR44_PROKKA,rlmF,core,44
10,cecR,ECOR44_01610,CDS,350800,351471,+,ECOR44_PROKKA,rlmF,core,44
-9,alaA,ECOR47_04270,CDS,201721,202938,-,ECOR47_PROKKA,rlmF,core,44
-8,hdfR_2,ECOR47_04271,CDS,203858,204796,+,ECOR47_PROKKA,rlmF,core,44
-7,,ECOR47_04272,CDS,112,456,+,ECOR47_PROKKA,rlmF,non_core,1
-6,bhsA_4,ECOR47_04273,CDS,512,772,-,ECOR47_PROKKA,rlmF,core,44
-5,ybiI_1,ECOR47_04274,CDS,1037,1303,-,ECOR47_PROKKA,rlmF,core,44
-4,,ECOR47_04275,CDS,1377,2051,-,ECOR47_PROKKA,rlmF,core,44
-3,fiu,ECOR47_04276,CDS,2096,4378,-,ECOR47_PROKKA,rlmF,non_core,17
-2,mcbA,ECOR47_04277,CDS,4643,4903,-,ECOR47_PROKKA,rlmF,core,44
-1,rlmF,ECOR47_04278,CDS,5179,6105,+,ECOR47_PROKKA,rlmF,soft_core,43
1,ybiO,ECOR47_04279,CDS,6102,8327,-,ECOR47_PROKKA,rlmF,core,44
2,glnQ_2,ECOR47_04280,CDS,8588,9310,-,ECOR47_PROKKA,rlmF,core,44
3,glnP,ECOR47_04281,CDS,9307,9966,-,ECOR47_PROKKA,rlmF,core,44
4,glnH,ECOR47_04282,CDS,10105,10851,-,ECOR47_PROKKA,rlmF,core,44
5,dps,ECOR47_04283,CDS,11255,11758,-,ECOR47_PROKKA,rlmF,core,44
6,rhtA,ECOR47_04284,CDS,12057,12944,-,ECOR47_PROKKA,rlmF,core,44
7,ompX_2,ECOR47_04285,CDS,13297,13812,+,ECOR47_PROKKA,rlmF,core,44
8,opgE,ECOR47_04286,CDS,13861,15444,-,ECOR47_PROKKA,rlmF,core,44
9,mntS,ECOR47_04287,CDS,15716,15844,-,ECOR47_PROKKA,rlmF,core,44
10,mntR,ECOR47_04288,CDS,16030,16497,+,ECOR47_PROKKA,rlmF,core,44
-9,trmH,a99aee7d8774ee1318b35b64abeb3eab_7535,CDS,3815211,3815900,-,W3110,rph,core,44
-8,spoT,a99aee7d8774ee1318b35b64abeb3eab_7537,CDS,3815907,3818015,-,W3110,rph,core,44
-7,rpoZ,a99aee7d8774ee1318b35b64abeb3eab_7539,CDS,3818034,3818309,-,W3110,rph,core,44
-6,gmk,a99aee7d8774ee1318b35b64abeb3eab_7541,CDS,3818364,3818987,-,W3110,rph,core,44
-5,ligB,a99aee7d8774ee1318b35b64abeb3eab_7543,CDS,3819245,3820927,+,W3110,rph,non_core,30
-4,yicG,a99aee7d8774ee1318b35b64abeb3eab_7545,CDS,3820924,3821541,-,W3110,rph,core,44
-3,dinD,a99aee7d8774ee1318b35b64abeb3eab_7547,CDS,3821831,3822655,-,W3110,rph,non_core,34
-2,yicC,a99aee7d8774ee1318b35b64abeb3eab_7549,CDS,3822876,3823739,-,W3110,rph,core,44
-1,rph,a99aee7d8774ee1318b35b64abeb3eab_7551,CDS,3823866,3824581,+,W3110,rph,unknown,
1,pyrE,a99aee7d8774ee1318b35b64abeb3eab_7553,CDS,3824647,3825288,+,W3110,rph,core,44
2,slmA,a99aee7d8774ee1318b35b64abeb3eab_7555,CDS,3825325,3825921,-,W3110,rph,core,44
3,dut,a99aee7d8774ee1318b35b64abeb3eab_7557,CDS,3826028,3826486,-,W3110,rph,core,44
4,coaBC,a99aee7d8774ee1318b35b64abeb3eab_7559,CDS,3826464,3827684,-,W3110,rph,core,44
5,radC,a99aee7d8774ee1318b35b64abeb3eab_7561,CDS,3827856,3828524,+,W3110,rph,core,44
6,rpmB,a99aee7d8774ee1318b35b64abeb3eab_7563,CDS,3828741,3828977,+,W3110,rph,core,44
7,rpmG,a99aee7d8774ee1318b35b64abeb3eab_7565,CDS,3828998,3829165,+,W3110,rph,core,44
8,mutM,a99aee7d8774ee1318b35b64abeb3eab_7567,CDS,3829263,3830072,+,W3110,rph,core,44
9,coaD,a99aee7d8774ee1318b35b64abeb3eab_7569,CDS,3830111,3830590,-,W3110,rph,core,44
10,waaA,a99aee7d8774ee1318b35b64abeb3eab_7571,CDS,3830598,3831875,-,W3110,rph,core,44
-9,waaA,ECOR47_01939,CDS,23938,25215,+,ECOR47_PROKKA,rph,core,44
-8,coaD,ECOR47_01940,CDS,25223,25702,+,ECOR47_PROKKA,rph,core,44
-7,mutM,ECOR47_01941,CDS,25741,26550,-,ECOR47_PROKKA,rph,core,44
-6,rpmG,ECOR47_01942,CDS,26648,26815,-,ECOR47_PROKKA,rph,core,44
-5,rpmB,ECOR47_01943,CDS,26836,27072,-,ECOR47_PROKKA,rph,core,44
-4,,ECOR47_01944,CDS,27289,27957,-,ECOR47_PROKKA,rph,core,44
-3,coaBC,ECOR47_01945,CDS,28129,29349,+,ECOR47_PROKKA,rph,core,44
-2,dut,ECOR47_01946,CDS,29327,29785,+,ECOR47_PROKKA,rph,core,44
-1,slmA,ECOR47_01947,CDS,29892,30488,+,ECOR47_PROKKA,rph,core,44
1,pyrE,ECOR47_01948,CDS,30525,31166,-,ECOR47_PROKKA,rph,core,44
2,rph,ECOR47_01949,CDS,31232,31948,-,ECOR47_PROKKA,rph,soft_core,43
3,,ECOR47_01950,CDS,32075,32938,+,ECOR47_PROKKA,rph,core,44
4,,ECOR47_01951,CDS,33160,33984,+,ECOR47_PROKKA,rph,non_core,34
5,,ECOR47_01952,CDS,34275,34892,+,ECOR47_PROKKA,rph,core,44
6,ligB,ECOR47_01953,CDS,34889,36571,-,ECOR47_PROKKA,rph,non_core,30
7,gmk,ECOR47_01954,CDS,36829,37452,+,ECOR47_PROKKA,rph,core,44
8,rpoZ,ECOR47_01955,CDS,37507,37782,+,ECOR47_PROKKA,rph,core,44
9,spoT,ECOR47_01956,CDS,37801,39909,+,ECOR47_PROKKA,rph,core,44
10,trmH_1,ECOR47_01957,CDS,39949,40605,+,ECOR47_PROKKA,rph,core,44
-9,yafJ,9d38f563c3a26fdef9221ebcd767f53a_475,CDS,244327,245094,+,MG1655,rtcB_1,core,44
-8,ldtF,9d38f563c3a26fdef9221ebcd767f53a_477,CDS,245065,245805,-,MG1655,rtcB_1,core,44
-7,yafQ,9d38f563c3a26fdef9221ebcd767f53a_479,CDS,245961,246239,-,MG1655,rtcB_1,non_core,11
-6,dinJ,9d38f563c3a26fdef9221ebcd767f53a_481,CDS,246242,246502,-,MG1655,rtcB_1,non_core,11
-5,yafL,9d38f563c3a26fdef9221ebcd767f53a_483,CDS,246712,247461,+,MG1655,rtcB_1,core,44
-4,rayT,9d38f563c3a26fdef9221ebcd767f53a_485,CDS,247637,248134,+,MG1655,rtcB_1,non_core,16
-3,dinB,9d38f563c3a26fdef9221ebcd767f53a_489,CDS,250898,251953,+,MG1655,rtcB_1,core,44
-2,yafN,9d38f563c3a26fdef9221ebcd767f53a_491,CDS,252005,252298,+,MG1655,rtcB_1,non_core,23
-1,yafO,9d38f563c3a26fdef9221ebcd767f53a_493,CDS,252301,252699,+,MG1655,rtcB_1,non_core,22
1,yafP,9d38f563c3a26fdef9221ebcd767f53a_495,CDS,252709,253161,+,MG1655,rtcB_1,non_core,36
2,pepD,9d38f563c3a26fdef9221ebcd767f53a_499,CDS,254259,255716,-,MG1655,rtcB_1,core,44
3,gpt,9d38f563c3a26fdef9221ebcd767f53a_501,CDS,255977,256435,+,MG1655,rtcB_1,core,44
4,frsA,9d38f563c3a26fdef9221ebcd767f53a_503,CDS,256527,257771,+,MG1655,rtcB_1,core,44
5,crl,9d38f563c3a26fdef9221ebcd767f53a_506,CDS,257829,257899,+,MG1655,rtcB_1,core,44
6,crl,9d38f563c3a26fdef9221ebcd767f53a_507,CDS,258676,259006,+,MG1655,rtcB_1,unknown,
7,insB9,9d38f563c3a26fdef9221ebcd767f53a_512,CDS,257923,258426,-,MG1655,rtcB_1,non_core,3
8,insA9,9d38f563c3a26fdef9221ebcd767f53a_514,CDS,258345,258620,-,MG1655,rtcB_1,non_core,1
9,phoE,9d38f563c3a26fdef9221ebcd767f53a_516,CDS,259045,260100,-,MG1655,rtcB_1,core,44
10,proB,9d38f563c3a26fdef9221ebcd767f53a_518,CDS,260388,261491,+,MG1655,rtcB_1,core,44
-9,phoE,ECOR47_02997,CDS,12105,13160,+,ECOR47_PROKKA,rtcB_1,core,44
-8,crl,ECOR47_02998,CDS,13199,13600,-,ECOR47_PROKKA,rtcB_1,core,44
-7,,ECOR47_02999,CDS,13658,14902,-,ECOR47_PROKKA,rtcB_1,core,44
-6,gpt,ECOR47_03000,CDS,14994,15452,-,ECOR47_PROKKA,rtcB_1,core,44
-5,pepD,ECOR47_03001,CDS,15713,17170,+,ECOR47_PROKKA,rtcB_1,core,44
-4,,ECOR47_03002,CDS,17179,17460,+,ECOR47_PROKKA,rtcB_1,non_core,3
-3,,ECOR47_03003,CDS,17477,17986,-,ECOR47_PROKKA,rtcB_1,non_core,3
-2,prfA_1,ECOR47_03004,CDS,18048,18662,-,ECOR47_PROKKA,rtcB_1,non_core,41
-1,rtcB_1,ECOR47_03005,CDS,18659,19798,-,ECOR47_PROKKA,rtcB_1,soft_core,43
1,yafP,ECOR47_03006,CDS,19989,20363,-,ECOR47_PROKKA,rtcB_1,non_core,36
2,yafO,ECOR47_03007,CDS,20652,20849,-,ECOR47_PROKKA,rtcB_1,non_core,22
3,yafN,ECOR47_03008,CDS,20852,21145,-,ECOR47_PROKKA,rtcB_1,non_core,23
4,dinB,ECOR47_03009,CDS,21197,22252,-,ECOR47_PROKKA,rtcB_1,core,44
5,lafU,ECOR47_03010,CDS,22323,22958,-,ECOR47_PROKKA,rtcB_1,soft_core,43
6,flhA_2,ECOR47_03011,CDS,23053,24792,+,ECOR47_PROKKA,rtcB_1,soft_core,43
7,mobB,ECOR47_03012,CDS,173,700,-,ECOR47_PROKKA,rtcB_1,core,44
8,mobA,ECOR47_03013,CDS,682,1266,-,ECOR47_PROKKA,rtcB_1,core,44
9,yihD,ECOR47_03014,CDS,1336,1605,+,ECOR47_PROKKA,rtcB_1,core,44
10,srkA,ECOR47_03015,CDS,1682,2668,+,ECOR47_PROKKA,rtcB_1,core,44
-9,,ECOR4_04262,CDS,54579,54983,+,ECOR4_PROKKA,rtcR,non_core,1
-8,,ECOR4_04263,CDS,55013,56083,+,ECOR4_PROKKA,rtcR,non_core,4
-7,,ECOR4_04264,CDS,56109,57101,+,ECOR4_PROKKA,rtcR,non_core,2
-6,,ECOR4_04265,CDS,57101,57388,+,ECOR4_PROKKA,rtcR,non_core,2
-5,glpD,ECOR4_04266,CDS,57919,59424,-,ECOR4_PROKKA,rtcR,core,44
-4,glpE,ECOR4_04267,CDS,59614,59940,+,ECOR4_PROKKA,rtcR,core,44
-3,glpG_2,ECOR4_04268,CDS,59985,60815,+,ECOR4_PROKKA,rtcR,core,44
-2,glpR,ECOR4_04269,CDS,60832,61590,+,ECOR4_PROKKA,rtcR,soft_core,43
-1,norR_3,ECOR4_04270,CDS,61572,63170,-,ECOR4_PROKKA,rtcR,non_core,2
1,rtcB,ECOR4_04271,CDS,63359,64585,+,ECOR4_PROKKA,rtcR,non_core,38
2,rtcA,ECOR4_04272,CDS,64589,65605,+,ECOR4_PROKKA,rtcR,core,44
3,malT,ECOR4_04273,CDS,65648,68353,-,ECOR4_PROKKA,rtcR,core,44
4,malP_3,ECOR4_04274,CDS,68965,71358,+,ECOR4_PROKKA,rtcR,core,44
5,malQ,ECOR4_04275,CDS,71368,73452,+,ECOR4_PROKKA,rtcR,non_core,32
6,gntT,ECOR4_04276,CDS,73497,74813,-,ECOR4_PROKKA,rtcR,core,44
7,nfuA,ECOR4_04277,CDS,75174,75749,-,ECOR4_PROKKA,rtcR,core,44
8,prs_2,ECOR4_04278,CDS,75808,76491,-,ECOR4_PROKKA,rtcR,core,44
9,bioH,ECOR4_04279,CDS,76529,77299,+,ECOR4_PROKKA,rtcR,core,44
10,,ECOR4_04280,CDS,77326,78204,-,ECOR4_PROKKA,rtcR,non_core,30
-9,prs_2,ECOR47_03703,CDS,68709,69392,+,ECOR47_PROKKA,rtcR,core,44
-8,nfuA,ECOR47_03704,CDS,69451,70026,+,ECOR47_PROKKA,rtcR,core,44
-7,gntT,ECOR47_03705,CDS,70387,71703,+,ECOR47_PROKKA,rtcR,core,44
-6,malQ,ECOR47_03706,CDS,71751,73832,-,ECOR47_PROKKA,rtcR,non_core,13
-5,malP_1,ECOR47_03707,CDS,73842,76235,-,ECOR47_PROKKA,rtcR,core,44
-4,malT,ECOR47_03708,CDS,76858,79563,+,ECOR47_PROKKA,rtcR,core,44
-3,rtcA,ECOR47_03709,CDS,79606,80622,-,ECOR47_PROKKA,rtcR,core,44
-2,rtcB_2,ECOR47_03710,CDS,80626,81852,-,ECOR47_PROKKA,rtcR,non_core,38
-1,norR_3,ECOR47_03711,CDS,82041,83639,+,ECOR47_PROKKA,rtcR,soft_core,43
1,glpR,ECOR47_03712,CDS,83621,84379,-,ECOR47_PROKKA,rtcR,soft_core,43
2,glpG,ECOR47_03713,CDS,84396,85226,-,ECOR47_PROKKA,rtcR,core,44
3,glpE,ECOR47_03714,CDS,85271,85597,-,ECOR47_PROKKA,rtcR,core,44
4,glpD,ECOR47_03715,CDS,85787,87292,+,ECOR47_PROKKA,rtcR,core,44
5,,ECOR47_03716,CDS,87799,88929,-,ECOR47_PROKKA,rtcR,non_core,5
6,ycbF,ECOR47_03717,CDS,88943,89722,-,ECOR47_PROKKA,rtcR,non_core,5
7,ycbV,ECOR47_03718,CDS,89688,90212,-,ECOR47_PROKKA,rtcR,non_core,5
8,ycbU,ECOR47_03719,CDS,90220,90783,-,ECOR47_PROKKA,rtcR,non_core,5
9,elfC_2,ECOR47_03720,CDS,90783,93311,-,ECOR47_PROKKA,rtcR,non_core,5
10,fimC_2,ECOR47_03721,CDS,93416,94168,-,ECOR47_PROKKA,rtcR,non_core,5
-9,,ECOR47_00238,CDS,48079,48537,+,ECOR47_PROKKA,sbcD,core,44
-8,aroL,ECOR47_00239,CDS,48720,49244,+,ECOR47_PROKKA,sbcD,core,44
-7,yaiA,ECOR47_00240,CDS,49294,49485,+,ECOR47_PROKKA,sbcD,core,44
-6,,ECOR47_00241,CDS,49743,50420,+,ECOR47_PROKKA,sbcD,core,44
-5,ppnP,ECOR47_00242,CDS,50492,50776,+,ECOR47_PROKKA,sbcD,core,44
-4,,ECOR47_00243,CDS,50880,51062,-,ECOR47_PROKKA,sbcD,non_core,32
-3,rdgC,ECOR47_00244,CDS,51423,52400,-,ECOR47_PROKKA,sbcD,core,44
-2,mak,ECOR47_00245,CDS,52459,53367,+,ECOR47_PROKKA,sbcD,core,44
-1,araJ,ECOR47_00246,CDS,53510,54778,-,ECOR47_PROKKA,sbcD,core,44
1,sbcC,ECOR47_00247,CDS,54820,57963,-,ECOR47_PROKKA,sbcD,core,44
2,sbcD,ECOR47_00248,CDS,57960,59162,-,ECOR47_PROKKA,sbcD,soft_core,43
3,phoB,ECOR47_00249,CDS,59352,60041,+,ECOR47_PROKKA,sbcD,core,44
4,phoR,ECOR47_00250,CDS,60099,61394,+,ECOR47_PROKKA,sbcD,core,44
5,brnQ,ECOR47_00251,CDS,61801,63120,+,ECOR47_PROKKA,sbcD,core,44
6,proY,ECOR47_00252,CDS,63196,64569,+,ECOR47_PROKKA,sbcD,core,44
7,malZ,ECOR47_00253,CDS,64725,66542,+,ECOR47_PROKKA,sbcD,soft_core,42
8,,ECOR47_00254,CDS,66731,68200,+,ECOR47_PROKKA,sbcD,non_core,8
9,acpH,ECOR47_00255,CDS,68221,68802,-,ECOR47_PROKKA,sbcD,core,44
10,queA,ECOR47_00256,CDS,69021,70091,+,ECOR47_PROKKA,sbcD,core,44
-9,,ECOR66_00528,CDS,175381,175872,-,ECOR66_PROKKA,sbcD,non_core,2
-8,,ECOR66_00529,CDS,175973,176098,-,ECOR66_PROKKA,sbcD,non_core,9
-7,nepI_1,ECOR66_00530,CDS,176287,177480,-,ECOR66_PROKKA,sbcD,non_core,2
-6,,ECOR66_00531,CDS,177657,178715,-,ECOR66_PROKKA,sbcD,non_core,2
-5,pgrR_1,ECOR66_00532,CDS,178961,179848,+,ECOR66_PROKKA,sbcD,non_core,2
-4,brnQ,ECOR66_00533,CDS,127,1446,-,ECOR66_PROKKA,sbcD,core,44
-3,phoR,ECOR66_00534,CDS,1853,3148,-,ECOR66_PROKKA,sbcD,core,44
-2,phoB,ECOR66_00535,CDS,3206,3895,-,ECOR66_PROKKA,sbcD,core,44
-1,sbcD,ECOR66_00536,CDS,4085,5287,+,ECOR66_PROKKA,sbcD,non_core,2
1,sbcC,ECOR66_00537,CDS,5284,8427,+,ECOR66_PROKKA,sbcD,core,44
2,araJ,ECOR66_00538,CDS,8469,9737,+,ECOR66_PROKKA,sbcD,core,44
3,mak_1,ECOR66_00539,CDS,10006,10914,-,ECOR66_PROKKA,sbcD,core,44
4,rdgC,ECOR66_00540,CDS,10973,11950,+,ECOR66_PROKKA,sbcD,core,44
5,,ECOR66_00541,CDS,12311,12493,+,ECOR66_PROKKA,sbcD,non_core,32
6,ppnP,ECOR66_00542,CDS,12597,12881,-,ECOR66_PROKKA,sbcD,core,44
7,,ECOR66_00543,CDS,12953,13630,-,ECOR66_PROKKA,sbcD,core,44
8,yaiA,ECOR66_00544,CDS,13888,14079,-,ECOR66_PROKKA,sbcD,core,44
9,aroL,ECOR66_00545,CDS,14129,14653,-,ECOR66_PROKKA,sbcD,core,44
10,,ECOR66_00546,CDS,14836,15294,-,ECOR66_PROKKA,sbcD,core,44
-9,rhaS_3,ECOR47_01130,CDS,197093,198004,-,ECOR47_PROKKA,selO,soft_core,42
-8,,ECOR47_01131,CDS,198107,198283,-,ECOR47_PROKKA,selO,non_core,29
-7,fixA_1,ECOR47_01132,CDS,198320,199084,+,ECOR47_PROKKA,selO,core,44
-6,fixB_1,ECOR47_01133,CDS,199104,200042,+,ECOR47_PROKKA,selO,core,44
-5,dadA_1,ECOR47_01134,CDS,200098,201387,+,ECOR47_PROKKA,selO,core,44
-4,fixX_1,ECOR47_01135,CDS,201384,201677,+,ECOR47_PROKKA,selO,core,44
-3,fadK,ECOR47_01136,CDS,201734,203380,+,ECOR47_PROKKA,selO,core,44
-2,ppsA,ECOR47_01137,CDS,203437,205815,-,ECOR47_PROKKA,selO,core,44
-1,ppsR,ECOR47_01138,CDS,206148,206981,+,ECOR47_PROKKA,selO,core,44
1,aroH,ECOR47_01139,CDS,207138,208184,+,ECOR47_PROKKA,selO,core,44
2,ydiE,ECOR47_01140,CDS,208316,208507,+,ECOR47_PROKKA,selO,core,44
3,selO,ECOR47_01141,CDS,208511,209947,-,ECOR47_PROKKA,selO,soft_core,43
4,ydiV,ECOR47_01142,CDS,210010,210723,-,ECOR47_PROKKA,selO,non_core,40
5,mepS_1,ECOR47_01143,CDS,210970,211434,-,ECOR47_PROKKA,selO,core,44
6,btuD_2,ECOR47_01144,CDS,211512,212261,-,ECOR47_PROKKA,selO,core,44
7,btuE,ECOR47_01145,CDS,212261,212812,-,ECOR47_PROKKA,selO,core,44
8,btuC,ECOR47_01146,CDS,212875,213855,-,ECOR47_PROKKA,selO,core,44
9,ihfA,ECOR47_01147,CDS,213956,214255,-,ECOR47_PROKKA,selO,core,44
10,pheT,ECOR47_01148,CDS,214260,216647,-,ECOR47_PROKKA,selO,core,44
-9,ilvI,ECOR47_03519,CDS,134501,136225,-,ECOR47_PROKKA,sgrR_2,core,44
-8,leuO,ECOR47_03520,CDS,136543,137487,-,ECOR47_PROKKA,sgrR_2,core,44
-7,leuA,ECOR47_03521,CDS,138325,139896,+,ECOR47_PROKKA,sgrR_2,core,44
-6,leuB,ECOR47_03522,CDS,139896,140987,+,ECOR47_PROKKA,sgrR_2,core,44
-5,leuC_2,ECOR47_03523,CDS,140990,142390,+,ECOR47_PROKKA,sgrR_2,core,44
-4,leuD,ECOR47_03524,CDS,142401,143006,+,ECOR47_PROKKA,sgrR_2,core,44
-3,sgrT,ECOR47_03525,CDS,143114,143245,-,ECOR47_PROKKA,sgrR_2,non_core,33
-2,sgrR_2,ECOR47_03526,CDS,143334,144992,+,ECOR47_PROKKA,sgrR_2,soft_core,43
-1,,ECOR47_03527,CDS,145489,146325,-,ECOR47_PROKKA,sgrR_2,non_core,5
1,thiB,ECOR47_03528,CDS,146696,147679,+,ECOR47_PROKKA,sgrR_2,core,44
2,,ECOR47_03529,CDS,147655,149265,+,ECOR47_PROKKA,sgrR_2,core,44
3,thiQ,ECOR47_03530,CDS,149249,149947,+,ECOR47_PROKKA,sgrR_2,core,44
4,yabI,ECOR47_03531,CDS,150061,150825,-,ECOR47_PROKKA,sgrR_2,core,44
5,araC,ECOR47_03532,CDS,150911,151789,-,ECOR47_PROKKA,sgrR_2,core,44
6,araB,ECOR47_03533,CDS,152128,153828,+,ECOR47_PROKKA,sgrR_2,core,44
7,araA,ECOR47_03534,CDS,153839,155341,+,ECOR47_PROKKA,sgrR_2,core,44
8,araD,ECOR47_03535,CDS,155711,156406,+,ECOR47_PROKKA,sgrR_2,core,44
9,polB,ECOR47_03536,CDS,156481,158832,+,ECOR47_PROKKA,sgrR_2,core,44
10,rapA,ECOR47_03537,CDS,158996,161902,+,ECOR47_PROKKA,sgrR_2,core,44
-9,leuO,ECOR49_04515,CDS,136819,137763,-,ECOR49_PROKKA,sgrR_2,core,44
-8,leuA,ECOR49_04516,CDS,138601,140172,+,ECOR49_PROKKA,sgrR_2,core,44
-7,leuB,ECOR49_04517,CDS,140172,141263,+,ECOR49_PROKKA,sgrR_2,core,44
-6,leuC_2,ECOR49_04518,CDS,141266,142666,+,ECOR49_PROKKA,sgrR_2,core,44
-5,leuD,ECOR49_04519,CDS,142677,143282,+,ECOR49_PROKKA,sgrR_2,core,44
-4,sgrT,ECOR49_04520,CDS,143390,143521,-,ECOR49_PROKKA,sgrR_2,non_core,33
-3,sgrR_2,ECOR49_04521,CDS,143610,145268,+,ECOR49_PROKKA,sgrR_2,non_core,2
-2,,ECOR49_04522,CDS,145425,145532,-,ECOR49_PROKKA,sgrR_2,non_core,1
-1,,ECOR49_04523,CDS,145498,146067,-,ECOR49_PROKKA,sgrR_2,non_core,1
1,thiB,ECOR49_04524,CDS,146438,147421,+,ECOR49_PROKKA,sgrR_2,core,44
2,,ECOR49_04525,CDS,147397,149007,+,ECOR49_PROKKA,sgrR_2,core,44
3,thiQ,ECOR49_04526,CDS,148991,149689,+,ECOR49_PROKKA,sgrR_2,core,44
4,yabI,ECOR49_04527,CDS,149803,150567,-,ECOR49_PROKKA,sgrR_2,core,44
5,araC,ECOR49_04528,CDS,150653,151531,-,ECOR49_PROKKA,sgrR_2,core,44
6,araB_2,ECOR49_04529,CDS,151870,153570,+,ECOR49_PROKKA,sgrR_2,core,44
7,araA,ECOR49_04530,CDS,153581,155083,+,ECOR49_PROKKA,sgrR_2,core,44
8,araD,ECOR49_04531,CDS,155252,155947,+,ECOR49_PROKKA,sgrR_2,core,44
9,polB,ECOR49_04532,CDS,156022,158373,+,ECOR49_PROKKA,sgrR_2,core,44
10,rapA,ECOR49_04533,CDS,158537,161443,+,ECOR49_PROKKA,sgrR_2,core,44
-9,dosP,ECOR50_04636,CDS,3258,5657,+,ECOR50_PROKKA,sra,non_core,29
-8,ddpX,ECOR50_04637,CDS,5915,6496,+,ECOR50_PROKKA,sra,non_core,18
-7,ddpA,ECOR50_04638,CDS,6510,8060,+,ECOR50_PROKKA,sra,non_core,18
-6,ddpB,ECOR50_04639,CDS,8062,9084,+,ECOR50_PROKKA,sra,non_core,18
-5,ddpC,ECOR50_04640,CDS,9081,9977,+,ECOR50_PROKKA,sra,non_core,16
-4,ddpD,ECOR50_04641,CDS,9974,10960,+,ECOR50_PROKKA,sra,non_core,18
-3,ddpF,ECOR50_04642,CDS,10953,11879,+,ECOR50_PROKKA,sra,non_core,18
-2,osmC,ECOR50_04643,CDS,11935,12366,-,ECOR50_PROKKA,sra,core,44
-1,bdm,ECOR50_04644,CDS,12711,12926,+,ECOR50_PROKKA,sra,core,44
1,maeA,ECOR50_04645,CDS,13322,15019,+,ECOR50_PROKKA,sra,core,44
2,adhP,ECOR50_04646,CDS,15153,16163,+,ECOR50_PROKKA,sra,core,44
3,yddM,ECOR50_04647,CDS,16309,16593,+,ECOR50_PROKKA,sra,core,44
4,,ECOR50_04648,CDS,111,1742,-,ECOR50_PROKKA,sra,soft_core,43
5,metH,ECOR50_04649,CDS,1962,5645,-,ECOR50_PROKKA,sra,soft_core,43
6,iclR,ECOR50_04650,CDS,5845,6669,+,ECOR50_PROKKA,sra,soft_core,43
7,,ECOR50_04651,CDS,6986,9172,+,ECOR50_PROKKA,sra,non_core,17
8,aceK,ECOR50_04652,CDS,9141,10877,-,ECOR50_PROKKA,sra,soft_core,43
